"id","business_name","coord_x","coord_y","full_address"
"3000000-101-1984-00361","향정","198524.386291715    ","452444.27749969     ","서울특별시 종로구 관훈동 166-0 "
"3000000-101-1984-00436","동성로왕찹쌀꽈배기","197769.170860745    ","451946.699844204    ","서울특별시 종로구 신문로1가 156-0 "
"3000000-101-1984-00506","하나로회관","198643.543485167    ","452199.798612424    ","서울특별시 종로구 인사동 194-4 "
"3000000-101-1984-00520","봄날의 햇살","198076.878950513    ","452402.195269511    ","서울특별시 종로구 수송동 146-1 이마빌딩 지하1층 "
"3000000-101-1984-00536","오비로비","201669.503633082    ","452462.503785667    ","서울특별시 종로구 숭인동 173 1층 "
"3000000-101-1984-00597","페우관(Pheu Quan)","200845.73590754     ","452206.127097698    ","서울특별시 종로구 창신동 687-28 "
"3000000-101-1984-00682","실비집","199172.367584992    ","451837.982321798    ","서울특별시 종로구 관수동 100 "
"3000000-101-1984-00724","섬마을","197465.174384726    ","452888.272140991    ","서울특별시 종로구 통의동 71-1 "
"3000000-101-1984-00809","부산집 막국수","197587.412469594    ","452665.168489044    ","서울특별시 종로구 적선동 26-0 "
"3000000-101-1984-00820","더피자필","198438.965108009    ","451888.484197892    ","서울특별시 종로구 관철동 289 교원청계빌딩 "
"3000000-101-1984-00898","강촌쌈밥","197695.420011121    ","456493.51507729     ","서울특별시 종로구 평창동 460-1 "
"3000000-101-1984-00937","등촌샤브 칼국수 안국역점","198710.54227315     ","452850.100713039    ","서울특별시 종로구 재동 84-19 "
"3000000-101-1984-00955","평원식당","200395.54563291     ","452206.954175162    ","서울특별시 종로구 효제동 174-6 "
"3000000-101-1984-00959","진할매 원조닭집","200430.257375395    ","452009.1311717      ","서울특별시 종로구 종로5가 265-22 (지상1,2,3층) "
"3000000-101-1984-00997","동영숯불갈비","196398.294883562    ","452314.96233387     ","서울특별시 종로구 행촌동 209-76 "
"3000000-101-1984-01220","동네별장","199887.252613829    ","453456.225617349    ","서울특별시 종로구 명륜2가 174-1 "
"3000000-101-1984-01227","고바우식당","201342.508356334    ","452119.966886421    ","서울특별시 종로구 숭인동 318-16 "
"3000000-101-1984-01232","옛마을","198259.834680993    ","452172.470840014    ","서울특별시 종로구 청진동 27 "
"3000000-101-1984-01386","은신처 종로점","199063.907136647    ","452606.456968919    ","서울특별시 종로구 운니동 56 "
"3000000-101-1984-01667","평창동 북악정","197963.5710825      ","456548.652797546    ","서울특별시 종로구 평창동 114-12 지하, 지상1,2층 "
"3000000-101-1984-01677","흥부네 사랑채","201684.94301241     ","452360.671366747    ","서울특별시 종로구 숭인동 207-30 지상1층 "
"3000000-101-1984-01701","황금정","197647.115932976    ","452252.265773347    ","서울특별시 종로구 당주동 1-0 1층,2층 "
